ï»¿Team;Year;Category;Picture Front;Picture Back (if different);Difference to previous;Kevin;Special Edition ?;URL Front;URL Back
Acqua & Sapone;2012;UCI Europa Tour Continental Profesional;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Acqua-Sapone12.jpg;
Acqua & Sapone-Adria Mobil;2005;UCI Europa Tour Continental Profesional;Picture;;x;;;http://www.avesdeburgos.com/ciclismo/images/Acqua&Sapone05.jpg;
Acqua & Sapone-CaffÃ¨ Mokambo;2004;TT II;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Acqua&Sapone04.jpg;
Acqua & Sapone-CaffÃ¨ Mokambo;2006;UCI Europa Tour Continental Profesional;Picture;;x;x;;http://www.avesdeburgos.com/ciclismo/images/Acqua&Sapone06.jpg;
Acqua & Sapone-CaffÃ¨ Mokambo;2007;UCI Europa Tour Continental Profesional;Picture;;x;x;;http://www.avesdeburgos.com/ciclismo/images/Acqua&Sapone07.jpg;
Acqua & Sapone-CaffÃ¨ Mokambo;2008;UCI Europa Tour Continental Profesional;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Acqua&Sapone08.jpg;
Acqua & Sapone-CaffÃ¨ Mokambo;2009;UCI Europa Tour Continental Profesional;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Acqua&Sapone08.jpg;
Acqua & Sapone-CaffÃ¨ Mokambo;2009;UCI Europa Tour Continental Profesional;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Acqua&Sapone09.jpg;
Acqua & Sapone-Cantina Tollo;2002;TT I;Picture;;x;x;;http://www.avesdeburgos.com/ciclismo/images/AcquaSapone-CantinaTollo.jpg;
Acqua & Sapone-D'Angelo & Antenucci;2010;UCI Europa Tour Continental Profesional;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Acqua&Sapone10.jpg;
ActiveJet;2014;;musette 2014 active jet trek;;x;x;;https://lakarra.net/wp-content/uploads/2019/12/musette-2014-active-jet-trek.jpg;
ADR FANGIO;1997;;musette 1997 adr fangio ioc mbk;;x;;;https://lakarra.net/wp-content/uploads/2020/07/musette-1997-adr-fangio-ioc-mbk.jpeg;
ADR-Anti-M;1988;Profesional;Picture;;x;;;http://www.zonadeavituallamiento.es/images/ADR88.jpg;
ADR-Coors Light-Bottechia-W-Cup Coffee;1989;Profesional;Picture;;x;;;http://www.zonadeavituallamiento.es/images/ADR89.jpg;
Adria Mobil;2008;UCI Europa Tour Continental;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Adria08.jpg;
Adria Mobil;2011;UCI Europa Tour Continental;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Adria11.jpg;
Adria Mobil;2013;UCI Europa Tour Continental;Picture;;Krka Fiat Ach at the botton;;;http://www.zonadeavituallamiento.es/images/Adria13.jpg;
Adria Mobil;2014;UCI Europa Tour Continental;Picture;;x;;;http://www.zonadeavituallamiento.es/images/Adria14.jpg;
Adria Mobil;2015;UCI Europa Tour Continental;Picture;;No copyright at Adria;x;;http://www.zonadeavituallamiento.es/images/Adria1516.jpg;
Adria Mobil;2016;UCI Europa Tour Continental;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Adria1516.jpg;
Adria Mobil;2017;UCI Europa Tour Continental;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Adria1516.jpg;
Adria Mobil;2018;UCI Europa Tour Continental;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Adria1516.jpg;
AG Insurance;2023;Women;Aucune description de photo disponible.;;x;;;ag_23;
AG Insurance;2024;Women;musette 2024;;No quick step middle;x;;;
Ag2r Citroen Team;2021;UCI WorldTeam;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Ag2r21.jpg;
Ag2r Citroen Team;2022;UCI WorldTeam;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Ag2r2122.jpg;
Ag2r Citroen Team;2023;UCI WorldTeam;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Ag2r2122.jpg;
Ag2r La Mondiale;2008;UCI ProTour;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Ag2r08.jpg;
Ag2r La Mondiale;2008;UCI ProTour;ag2r musette 2008;;x;;;https://lakarra.net/wp-content/uploads/2019/12/ag2r-musette-2008.jpg;
Ag2r La Mondiale;2009;UCI ProTour;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Ag2r09(2).jpg;
Ag2r La Mondiale;2009;UCI ProTour;Picture;;Biemme logo - bottom right;x;;http://www.zonadeavituallamiento.es/images/Ag2r09.jpg;
Ag2r La Mondiale;2010;UCI ProTour;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Ag2r10.jpg;
Ag2r La Mondiale;2011;UCI WorldTour;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Ag2r10.jpg;
Ag2r La Mondiale;2012;UCI WorldTour;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Ag2r12.jpg;
Ag2r La Mondiale;2013;UCI WorldTour;Picture;;Focus instead Kuota - bottom left;x;;http://www.zonadeavituallamiento.es/images/Ag2r13.jpg;
Ag2r La Mondiale;2014;UCI WorldTour;Picture;;Focus logo - bottom left;;;http://www.zonadeavituallamiento.es/images/Ag2r15.jpg;
Ag2r La Mondiale;2015;UCI WorldTour;Picture;;Focus logo - bottom left;x;;http://www.zonadeavituallamiento.es/images/Ag2r14.jpg;
Ag2r La Mondiale;2016;UCI WorldTour;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Ag2r16.jpg;
Ag2r La Mondiale;2017;UCI WorldTour;Picture;;Factor and GSG - bottom;x;;http://www.zonadeavituallamiento.es/images/Ag2r17.jpg;
Ag2r La Mondiale;2018;UCI WorldTour;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Ag2r18.jpg;
Ag2r La Mondiale;2019;UCI WorldTour;Picture;;Eddy Mercx - bottom right;x;;http://www.zonadeavituallamiento.es/images/Ag2r19.jpg;
Ag2r La Mondiale;2020;UCI WorldTour;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Ag2r19.jpg;
Ag2r La Mondiale - Conti;2020;;musette 2020 ag2r la mondiale continental;;x;;;https://lakarra.net/wp-content/uploads/2021/02/musette-2020-ag2r-la-mondiale-continental.jpeg;
Ag2r PrÃ©voyance;2001;TT I;Picture;;x;x;;http://www.avesdeburgos.com/ciclismo/images/ag2r02.jpg;
Ag2r PrÃ©voyance;2002;TT I;Picture;;x;x;;http://www.avesdeburgos.com/ciclismo/images/ag2r03.jpg;
Ag2r PrÃ©voyance;2003;TT I;Same as previous year;;x;;;http://www.avesdeburgos.com/ciclismo/images/ag2r03.jpg;
Ag2r PrÃ©voyance;2004;TT I;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Ag2r0405.jpg;
Ag2r PrÃ©voyance;2005;UCI Europa Tour Continental Profesional;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Ag2r0405.jpg;
Ag2r PrÃ©voyance;2006;UCI ProTour;Picture;;x;x;;http://www.avesdeburgos.com/ciclismo/images/ag2r06.jpg;
Ag2r PrÃ©voyance;2007;UCI ProTour;Picture;;b'Twin in black - top middle;x;;http://www.avesdeburgos.com/ciclismo/images/ag2r07.jpg;
Agilsport;2008;;agilsport musette 2008;;x;;;https://lakarra.net/wp-content/uploads/2019/12/agilsport-musette-2008.jpg;
Agores;;;musette agores;;x;;;https://lakarra.net/wp-content/uploads/2020/12/musette-agores.jpeg;
Agritubel;2005;UCI Europa Tour Continental Profesional;Picture;;Several small sponsors on top;x;;http://www.avesdeburgos.com/ciclismo/images/Agritubel05(2).jpg;
Agritubel;2005;UCI Europa Tour Continental Profesional;Picture;;x;;;http://www.avesdeburgos.com/ciclismo/images/Agritubel05.jpg;
Agritubel;2006;UCI Europa Tour Continental Profesional;Picture;Picture;x;x;;http://www.avesdeburgos.com/ciclismo/images/Agritubel06(a).jpg;http://www.avesdeburgos.com/ciclismo/images/Agritubel06(b).jpg
Agritubel;2007;UCI Europa Tour Continental Profesional;Picture;;x;x;;http://www.avesdeburgos.com/ciclismo/images/Agritubel07.jpg;
Agritubel;2008;UCI Europa Tour Continental Profesional;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Agritubel08.jpg;
Agritubel;2009;UCI Europa Tour Continental Profesional;Picture;;Agritubel in dark blue;x;;http://www.zonadeavituallamiento.es/images/Agritubel09.jpg;
Agritubel Loudun 86;2004;Elite 2;Picture;;x;x;;http://www.avesdeburgos.com/ciclismo/images/Agritubel(amarilla).jpg;
Agritubel Loudun 86;;;post;;White sides;x;;;
Aguas de mesa;1980;;musette 1980 aguas de mesa lanjaron;;x;;;https://lakarra.net/wp-content/uploads/2019/12/musette-1980-aguas-de-mesa-lanjaron.jpg;
Aiarabike;2018;;musette 2018 aiarabike;;x;;;https://lakarra.net/wp-content/uploads/2019/12/musette-2018-aiarabike.jpg;
Aitos;;;musette aitos;;x;;;https://lakarra.net/wp-content/uploads/2019/12/musette-aitos.jpg;
Aki-Safi;1997;TT II;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Aki97.jpg;
Akros - Renfer SA;2018;UCI Europa Tour Continental;musette 2018 akros winforce jakroo;;x;x;;https://lakarra.net/wp-content/uploads/2019/12/musette-2018-akros-winforce-jakroo.jpg;
Akros - ThÃ¶mus;2019;UCI Europa Tour Continental;Same as previous year;;x;;;https://lakarra.net/wp-content/uploads/2019/12/musette-2018-akros-winforce-jakroo.jpg;
Aldro;2016;Elite-Sub23;Picture;;x;;;http://www.zonadeavituallamiento.es/images/Aldro16.jpg;
Aldro;2017;Elite-Sub23;Picture;;Cantabria bottom right;x;;http://www.zonadeavituallamiento.es/images/Aldro17.jpg;
Aldro;2018;Elite-Sub23;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Aldro17.jpg;
Ale BTC Ljubjana;2020;UCI Equipo Femenino;Aucune description de photo disponible.;;x;;;ljubjana_20;
Ale BTC Ljubjana;2024;UCI Equipo Femenino;Picture;;;;;;
Ale BTC Ljubjana;2021;UCI Equipo Femenino;musette 2021 ale btc ljubljana;;x;;;https://lakarra.net/wp-content/uploads/2022/01/musette-2021-ale-btc-ljubljana.jpeg;
Ale Cipollini;2014;UCI Equipo Femenino;Picture;;x;;;http://www.zonadeavituallamiento.es/images/Ale-Cipollini14.jpg;
Ale Cipollini;2016;UCI Equipo Femenino;musette 2016 ale cipollini galassia dmt;;x;;;https://lakarra.net/wp-content/uploads/2019/12/musette-2016-ale-cipollini-galassia-dmt.jpg;https://lakarra.net/wp-content/uploads/2019/12/musette-2016-ale-cipollini-galassia-parmigiano-reggiano.jpg
Ale Cipollini;2017;UCI Equipo Femenino;musette 2017 ale cipollini;;Parmigiano Reggiano middle;x;;https://lakarra.net/wp-content/uploads/2019/12/musette-2017-ale-cipollini.jpg;
Ale Cipollini;2018;UCI Equipo Femenino;musette 2018 ale cipollini;;Bardiani bottom middle;;;https://lakarra.net/wp-content/uploads/2019/12/musette-2018-ale-cipollini.jpg;
Ale Cipollini;2019;UCI Equipo Femenino;Picture;;DMT middle;;;http://www.zonadeavituallamiento.es/images/Ale-Cipollini19.jpg;
Alessio;2002;TT I;Picture;;x;x;;http://www.avesdeburgos.com/ciclismo/images/Alessio02.jpg;
Alessio;2003;TT I;Picture;Picture;Ruote in lega leggeria in black;x;;http://www.zonadeavituallamiento.es/images/Alessio03(a).jpg;http://www.zonadeavituallamiento.es/images/Alessio03(b).jpg
ALESSIO DMT OA;2003;;musette 2003 alessio dmt oa;;x;x;;https://lakarra.net/wp-content/uploads/2019/12/musette-2003-alessio-dmt-oa.jpg;
Alessio-Bianchi;2004;TT I;Picture;Picture;x;;;http://www.avesdeburgos.com/ciclismo/images/Alessio-Bianchi04(a).jpg;http://www.avesdeburgos.com/ciclismo/images/Alessio-Bianchi04(b).jpg
Alessio-Bianchi;2004;TT I;Picture;Picture;square format;;;http://www.zonadeavituallamiento.es/images/Alessio-Bianchi(2)04(a).jpg;http://www.zonadeavituallamiento.es/images/Alessio-Bianchi(2)04(b).jpg
Alexia Alluminio;2001;TT II;Picture;;x;x;;http://www.avesdeburgos.com/ciclismo/images/Alexia01.jpg;
Alexia Alluminio;2000;TT II;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Alexia2000.jpg;
Alfa Lum;1989;;musette 1989 alfa lum;;x;;;https://lakarra.net/wp-content/uploads/2019/12/musette-1989-alfa-lum.jpg;
Alisian;1979;Profesional;Picture;;x;;;http://www.zonadeavituallamiento.es/images/Alisian.jpg;
Alpecin Deceuninck;2024;;Picture;;;;;;
Alpecin-Deceuninck;2024;WT;Same as previous year;;X;;;http://www.zonadeavituallamiento.es/images/Alpecin2223.jpg;
Alpecin-Deceuninck;2022;PRT;Picture;;X;x;;http://www.zonadeavituallamiento.es/images/Alpecin22.jpg;
Alpecin-Deceuninck;2023;WT;Picture;;Hairbooster instead Caffeine Shampoo - middle;x;;http://www.zonadeavituallamiento.es/images/Alpecin2223.jpg;
Alpecin-Fenix;2020;PRT;Picture;;X;x;;http://www.zonadeavituallamiento.es/images/Alpecin2021.jpg;
Alpecin-Fenix;2021;PRT;Same as previous year;;X;;;http://www.zonadeavituallamiento.es/images/Alpecin2021.jpg;
Alpha Baltic-Maratoni.lv;2015;UCI Europa Tour Continental;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Alphabaltic13(a).jpg;http://www.zonadeavituallamiento.es/images/Alphabaltic13(b).jpg
Alpha Baltic-Unitymarathons.com;2013;UCI Europa Tour Continental;Picture;Picture;x;;;http://www.zonadeavituallamiento.es/images/Alphabaltic13(a).jpg;http://www.zonadeavituallamiento.es/images/Alphabaltic13(b).jpg
Alpha Baltic-Unitymarathons.com;2014;UCI Europa Tour Continental;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Alphabaltic13(a).jpg;http://www.zonadeavituallamiento.es/images/Alphabaltic13(b).jpg
Aluminios Cortizo;2022;Elite-Sub23;Picture;;x;;;http://www.zonadeavituallamiento.es/images/Cortizo22.jpg;
Aluminios Cortizo;2023;Elite-Sub23;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Cortizo22.jpg;
Amaya Seguros;1991;Profesional;Picture;;Blue A;;;http://www.zonadeavituallamiento.es/images/Amaya(1).jpg;
Amaya Seguros;1992;Profesional;Picture;;Black A;;;http://www.zonadeavituallamiento.es/images/Amaya(2).jpg;
Amaya Seguros;1993;Profesional;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Amaya(2).jpg;
Amica Chips-Costa de AlmerÃ­a;1999;Profesional;Picture;;x;;;http://www.zonadeavituallamiento.es/images/AmicaChips-Almeria.jpg;
Amica Chips-Knauf;2009;UCI Europa Tour Continental Profesional;Picture;Picture;x;;;http://www.zonadeavituallamiento.es/images/AmicaChips09(a).jpg;http://www.zonadeavituallamiento.es/images/AmicaChips09(b).jpg
Amica Chips-Tacconi Sport;2000;TT II;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/AmicaChips2000.jpg;
Amieux;;;post;;x;;;;
Amore & Vita;2012;UCI Europa Tour Continental;Picture;;x;;;http://www.zonadeavituallamiento.es/images/Amore&Vita13.jpg;
Amore & Vita;2013;UCI Europa Tour Continental;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Amore&Vita13.jpg;
Amore & Vita;2013;UCI Europa Tour Continental;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Amore&Vita14.jpg;
Amore & Vita;2017;;musette 2017 amore vita;;x;x;;https://lakarra.net/wp-content/uploads/2019/12/musette-2017-amore-vita.jpg;
Amore & Vita;2020;;musette 2020 amore e vita;musette 2020 amore e vita trasera;x;;;https://lakarra.net/wp-content/uploads/2021/02/musette-2020-amore-e-vita.jpeg;https://lakarra.net/wp-content/uploads/2021/02/musette-2020-amore-e-vita-trasera.jpeg
Amore & Vita;2021;;musette 2021 amore vita;musette 2021 amore vita velo trasera;x;;;https://lakarra.net/wp-content/uploads/2022/01/musette-2021-amore-vita.jpeg;https://lakarra.net/wp-content/uploads/2022/01/musette-2021-amore-vita-velo-trasera.jpeg
Amore & Vita - Prodir;2018;;musette 2018 amore vita prodir;;x;x;;https://lakarra.net/wp-content/uploads/2019/12/musette-2018-amore-vita-prodir.jpg;
Amore & Vita - Prodir;2019;;musette 2019 amore vita prodir;musette 2019 amore vita trasera velo;x;x;;https://lakarra.net/wp-content/uploads/2020/04/musette-2019-amore-vita-prodir.jpg;https://lakarra.net/wp-content/uploads/2020/04/musette-2019-amore-vita-trasera-velo.jpg
Amore & Vita Giubileo Beretta;2000;No UCI;Picture;Picture;x;;;http://www.zonadeavituallamiento.es/images/Amore&Vita(a).jpg;http://www.zonadeavituallamiento.es/images/Amore&Vita(b).jpg
Amore & Vita-Beretta;2001;TT II;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Amore&Vita(a).jpg;http://www.zonadeavituallamiento.es/images/Amore&Vita(b).jpg
Amore & Vita-Beretta;2002;TT II;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Amore&Vita(a).jpg;http://www.zonadeavituallamiento.es/images/Amore&Vita(b).jpg
Amore & Vita-Beretta;2003;TT III;Picture;Picture;Colorful;x;;http://www.avesdeburgos.com/ciclismo/images/Amore&Vita0305(a).jpg;http://www.avesdeburgos.com/ciclismo/images/Amore&Vita0305(b).jpg
Amore & Vita-Beretta;2004;TT III;Same as previous year;;x;;;http://www.avesdeburgos.com/ciclismo/images/Amore&Vita0305(a).jpg;http://www.avesdeburgos.com/ciclismo/images/Amore&Vita0305(b).jpg
Amore & Vita-Beretta-Polska;2005;UCI Europa Tour Continental;Same as previous year;;x;;;http://www.avesdeburgos.com/ciclismo/images/Amore&Vita0305(a).jpg;http://www.avesdeburgos.com/ciclismo/images/Amore&Vita0305(b).jpg
Amore & Vita-Fanini;1991;Profesional;Picture;;x;;;http://www.zonadeavituallamiento.es/images/Amore&Vita91.jpg;
Amore & Vita-Fanini;1992;Profesional;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Amore&Vita91.jpg;
Amore & Vita-Galatron;1993;Profesional;Picture;;No nalini bottom right;x;;http://www.zonadeavituallamiento.es/images/Amore&Vita93.jpg;
Amore & Vita-Galatron;1994;Profesional;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Amore&Vita93.jpg;
Amore & Vita-Galatron;1995;Profesional;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Amore&Vita93.jpg;
Amore & Vita-McDonald's;2006;UCI Europa Tour Continental;Picture;Picture;x;;;http://www.avesdeburgos.com/ciclismo/images/Amore&Vita06(a).jpg;http://www.avesdeburgos.com/ciclismo/images/Amore&Vita06(b).jpg
Amore & Vita-McDonald's;2007;UCI Europa Tour Continental;Same as previous year;;x;;;http://www.avesdeburgos.com/ciclismo/images/Amore&Vita07(a).jpg;http://www.avesdeburgos.com/ciclismo/images/Amore&Vita07(b).jpg
Amore & Vita-McDonald's;2008;UCI Europa Tour Continental;Picture;;x;;;http://www.zonadeavituallamiento.es/images/Amore&Vita08.jpg;
Amore & Vita-McDonald's;2009;UCI America Tour Continental;Picture;;Smaller biemme bottom middle;;;http://www.zonadeavituallamiento.es/images/Amore&Vita09.jpg;
Amore & Vita-Selle SMP;2014;UCI Europa Tour Continental;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Amore&Vita14.jpg;
Amore & Vita-Selle SMP;2014;UCI Europa Tour Continental;Picture;;x;;;http://www.zonadeavituallamiento.es/images/Amore&Vita1415.jpg;
Amore & Vita-Selle SMP;2015;UCI Europa Tour Continental;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Amore&Vita1415.jpg;
Amore & Vita-Selle SMP;2016;UCI Europa Tour Continental;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Amore&Vita16.jpg;
An Post Chain Reaction;2013;;musette 2013 An Post Chainreaction Kinetica;;x;x;;https://lakarra.net/wp-content/uploads/2019/12/musette-2013-An-Post-Chainreaction-Kinetica.jpg;
An Post Chain Reaction;2016;UCI Europa Tour Continental;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/An-Post17.jpg;
An Post Chain Reaction;2017;UCI Europa Tour Continental;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/An-Post17.jpg;
An Post-Sean Kelly;2010;UCI Europa Tour Continental;Picture;;x;;;http://www.zonadeavituallamiento.es/images/Fashion-Cycling.jpg;
AndalucÃ­a;2012;UCI Europa Tour Continental Profesional;Picture;;Inverse at the bottom;x;;http://www.zonadeavituallamiento.es/images/Andalucia12.jpg;
AndalucÃ­a Caja Granada;2011;UCI Europa Tour Continental Profesional;Picture;Picture;x;x;;http://www.zonadeavituallamiento.es/images/Andalucia11(a).jpg;http://www.zonadeavituallamiento.es/images/Andalucia11(b).jpg
AndalucÃ­a-CajaSur;2007;UCI Europa Tour Continental Profesional ;Picture;;x;;;http://www.avesdeburgos.com/ciclismo/images/Andalucia07.jpg;
AndalucÃ­a-CajaSur;2008;UCI Europa Tour Continental Profesional;Picture;;x;;;http://www.zonadeavituallamiento.es/images/Andalucia08(2).jpg;
AndalucÃ­a-CajaSur;2009;UCI Europa Tour Continental Profesional;Picture;;white strap;;;http://www.avesdeburgos.com/ciclismo/images/Andalucia07(2).jpg;
AndalucÃ­a-CajaSur;2009;UCI Europa Tour Continental Profesional;Picture;;x;;;http://www.zonadeavituallamiento.es/images/Andalucia08.jpg;
AndalucÃ­a-CajaSur;2009;UCI Europa Tour Continental Profesional;Picture;;white strap;x;;http://www.zonadeavituallamiento.es/images/Andalucia09.jpg;
AndalucÃ­a-CajaSur;2010;UCI Europa Tour Continental Profesional;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Andalucia09.jpg;
AndalucÃ­a-Paul Versan;2005;UCI Europa Tour Continental Profesional;Picture;;x;;;http://www.avesdeburgos.com/ciclismo/images/Andalucia0506.jpg;
AndalucÃ­a-Paul Versan;2006;UCI Europa Tour Continental Profesional;Same as previous year;;x;;;http://www.avesdeburgos.com/ciclismo/images/Andalucia0506.jpg;
AndalucÃ­a-Paul Versan;2006;UCI Europa Tour Continental Profesional;Picture;;x;;;http://www.avesdeburgos.com/ciclismo/images/Andalucia06.jpg;
Andorra-GrandValira;2009;UCI Europa Tour Continental ;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Andorra09.jpg;
Androni Giocattoli-C.I.P.I;2011;UCI Europa Tour Continental Profesional;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Santini08.jpg;
Androni Giocattoli-Serramenti PVC Diquigiovanni;2010;UCI Europa Tour Continental Profesional;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Santini08.jpg;
Androni Giocattoli-Sidermec;2016;UCI Europa Tour Continental Profesional;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Androni16.jpg;
Androni Giocattoli-Sidermec;2018;UCI Europa Tour Continental Profesional;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Androni18.jpg;
Androni Giocattoli-Sidermec;2019;UCI Europa Tour Continental Profesional;Picture;;inkospor top left;x;;http://www.zonadeavituallamiento.es/images/Androni19.jpg;
Androni Giocattoli-Sidermec;2015;UCI Europa Tour Continental Profesional;Same as previous year;;x;;;http://www.zonadeavituallamiento.es/images/Santini13.jpg;
Androni Giocattoli-Sidermec;2020;UCI Europa Tour Continental Profesional;Same as previous year;;x;;;https://lakarra.net/wp-content/uploads/2021/02/musette-2020-androni-giocattoli.jpeg;
Androni Giocattoli-Sidermec;2021;UCI Europa Tour Continental Profesional;Same as previous year;;x;;;https://lakarra.net/wp-content/uploads/2021/02/musette-2020-androni-giocattoli.jpeg;
Androni Giocattoli-Venezuela;2013;UCI Europa Tour Continental Profesional;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Santini13.jpg;
Androni Giocattoli-Venezuela;2014;UCI Europa Tour Continental Profesional;Same as previous year;;x;;;https://lakarra.net/wp-content/uploads/2019/12/musette-2014-santini-androni-venezuela.jpg;
Androni-Sidermec-Bottecchia;2017;UCI Europa Tour Continental Profesional;Picture;;square format;x;;http://www.zonadeavituallamiento.es/images/Androni17.jpg;
Anicolor Mortagua;2016;;musette 2016 anicolor;;x;;;https://lakarra.net/wp-content/uploads/2019/12/musette-2016-anicolor.jpg;
Anquetil;1965;;musette 1965 anquetil;;x;;;https://lakarra.net/wp-content/uploads/2019/12/musette-1965-anquetil.jpg;
Antarte - Feirense;2021;UCI Europa Tour Continental;musette 2021 antarte feirense;;x;;;https://lakarra.net/wp-content/uploads/2022/01/musette-2021-antarte-feirense.jpeg;
Apac Cycling Team;2004;TT III;Picture;;x;;;http://www.zonadeavituallamiento.es/images/Apac04.jpg;
Aquablue Sport;2018;UCI Europa Tour Continental Profesional;Picture;;x;x;;http://www.zonadeavituallamiento.es/images/Aquablue18.jpg;
